CERTIFICATION,GENRE,APPELLATION,MENTION,LIEU,COULEUR,CEPAGE,LIBELLE_PRODUIT,IDENTIFIANT INAO
Autre AOC,Tranquille,Valençay,,,Blanc,,Valençay Blanc,1B233S
Autre AOC,Tranquille,Valençay,,,Rouge,,Valençay Rouge,1R233S
Autre AOC,Tranquille,Valençay,,,Rosé,,Valençay Rosé,1S233S
Autre AOC,Tranquille,Côtes du Forez,,,Rouge,,Côtes du Forez Rouge,1R360
Autre AOC,Tranquille,Côtes du Forez,,,Rosé,,Côtes du Forez Rosé,1S360
Autre AOC,Tranquille,Premières Côtes de Bordeaux,,,Blanc,,Premières Côtes de Bordeaux Blanc,1B153D
Autre AOC,Tranquille,Jurançon,,,Blanc,,Jurançon Blanc,1B135L
Autre AOC,Tranquille,Jurançon,,,Blanc Sec,,Jurançon Blanc Sec,1B135S
Autre AOC,Mousseux,Montlouis sur Loire,Pétillant,,Blanc,Chenin,Montlouis sur Loire Pétillant,1B225P 1
Autre AOC,Mousseux,Champagne,,,Blanc,,Champagne Blanc,1B080M 1
Autre AOC,Mousseux,Champagne,,,Rosé,,Champagne Rosé,1S080M 1
IGP,Tranquille,Côtes de la Charité,,,Blanc,,IGP Côtes de la Charité Blanc,3B582
IGP,Tranquille,Côtes de la Charité,,,Rouge,,IGP Côtes de la Charité Rouge,3R582
IGP,Tranquille,Côtes de la Charité,,,Rosé,,IGP Côtes de la Charité Rosé,3S582
IGP,Tranquille,Coteaux de Tannay,,,Blanc,,IGP Coteaux de Tannay Blanc,3B583
IGP,Tranquille,Coteaux de Tannay,,,Rouge,,IGP Coteaux de Tannay Rouge,3R583
IGP,Tranquille,Coteaux de Tannay,,,Rosé,,IGP Coteaux de Tannay Rosé,3S583
IGP,Tranquille,Coteaux du Cher et de l'Arnon,,,Blanc,,IGP Coteaux du Cher et de l'Arnon Blanc,3B182
IGP,Tranquille,Coteaux du Cher et de l'Arnon,,,Rouge,,IGP Coteaux du Cher et de l'Arnon Rouge,3R182
IGP,Tranquille,Coteaux du Cher et de l'Arnon,,,Rosé,,IGP Coteaux du Cher et de l'Arnon Rosé,3S182
IGP,Tranquille,Val de Loire,,,Blanc,,IGP Val de Loire Blanc,3B009
IGP,Tranquille,Val de Loire,,,Blanc,Multi cépage,IGP Val de Loire Blanc Multi cépage,3B009 00
IGP,Tranquille,Val de Loire,,,Blanc,Pinot blanc,IGP Val de Loire Blanc Pinot blanc,3B009 59
IGP,Tranquille,Val de Loire,,,Blanc,Pinot gris,IGP Val de Loire Blanc Pinot gris,3B009 AA
IGP,Tranquille,Val de Loire,,,Blanc,Sauvignon blanc,IGP Val de Loire Blanc Sauvignon blanc,3B009 AE
IGP,Tranquille,Val de Loire,,,Blanc,Sauvignon gris,IGP Val de Loire Blanc Sauvignon gris,3B009 AF
IGP,Tranquille,Val de Loire,,,Blanc,Chardonnay,IGP Val de Loire Blanc Chardonnay,3B009 CA
IGP,Tranquille,Val de Loire,,,Blanc,Chenin,IGP Val de Loire Blanc Chenin,3B009 CF
IGP,Tranquille,Val de Loire,,,Blanc,Folle blanche,IGP Val de Loire Blanc Folle blanche,3B009 CL
IGP,Tranquille,Val de Loire,,,Blanc,Grolleau gris,IGP Val de Loire Blanc Grolleau gris,3B009 CU
IGP,Tranquille,Val de Loire,,,Blanc,Melon,IGP Val de Loire Blanc Melon,3B009 DK
IGP,Tranquille,Val de Loire,,,Rosé,,IGP Val de Loire Rosé,3S009
IGP,Tranquille,Val de Loire,,,Rosé,Multi cépage,IGP Val de Loire Rosé Multi cépage,3S009 00
IGP,Tranquille,Val de Loire,,,Rosé,Pinot noir,IGP Val de Loire Rosé Pinot noir,3S009 AB
IGP,Tranquille,Val de Loire,,,Rosé,Egiodola,IGP Val de Loire Rosé Egiodola,3S009 AI
IGP,Tranquille,Val de Loire,,,Rosé,Cabernet franc,IGP Val de Loire Rosé Cabernet franc,3S009 BW
IGP,Tranquille,Val de Loire,,,Rosé,Cabernet sauvignon,IGP Val de Loire Rosé Cabernet sauvignon,3S009 B
IGP,Tranquille,Val de Loire,,,Rosé,Gamay noir,IGP Val de Loire Rosé Gamay noir,3S009 CM
IGP,Tranquille,Val de Loire,,,Rosé,Grolleau noir,IGP Val de Loire Rosé Grolleau noir,3S009 CT
IGP,Tranquille,Val de Loire,,,Rosé,Cot,IGP Val de Loire Rosé Cot,3S009 CZ
IGP,Tranquille,Val de Loire,,,Rosé,Merlot,IGP Val de Loire Rosé Merlot,3S009 DE
IGP,Tranquille,Val de Loire,,,Rosé,Abouriou,IGP Val de Loire Rosé Abouriou,3S009 35
IGP,Tranquille,Val de Loire,,,Rosé,Pineau d'Aunis,IGP Val de Loire Rosé Pineau d'Aunis,3S009 58
IGP,Tranquille,Val de Loire,,,Rouge,,IGP Val de Loire Rouge,3R009
IGP,Tranquille,Val de Loire,,,Rouge,Multi cépage,IGP Val de Loire Rouge Multi cépage,3R009 00
IGP,Tranquille,Val de Loire,,,Rouge,Pinot noir,IGP Val de Loire Rouge Pinot noir,3R009 AB
IGP,Tranquille,Val de Loire,,,Rouge,Cabernet franc,IGP Val de Loire Rouge Cabernet franc,3R009 BW
IGP,Tranquille,Val de Loire,,,Rouge,Cabernet sauvignon,IGP Val de Loire Rouge Cabernet sauvignon,3R009 B
IGP,Tranquille,Val de Loire,,,Rouge,Gamay noir,IGP Val de Loire Rouge Gamay noir,3R009 CM
IGP,Tranquille,Val de Loire,,,Rouge,Grolleau noir,IGP Val de Loire Rouge Grolleau noir,3R009 CT
IGP,Tranquille,Val de Loire,,,Rouge,Cot,IGP Val de Loire Rouge Cot,3R009 CZ
IGP,Tranquille,Val de Loire,,,Rouge,Merlot,IGP Val de Loire Rouge Merlot,3R009 DE
IGP,Tranquille,Val de Loire,,,Rouge,Abouriou,IGP Val de Loire Rouge Abouriou,3R009 35
IGP,Tranquille,Val de Loire,,,Rouge,Pineau d'Aunis,IGP Val de Loire Rouge Pineau d'Aunis,3R009 58
VSIG,Tranquille,Vin de France,,,Blanc,,Vin de France Tranquille Blanc,4B999
VSIG,Tranquille,Vin de France,,,Rouge,,Vin de France Tranquille Rouge,4R999
VSIG,Tranquille,Vin de France,,,Rosé,,Vin de France Tranquille Rosé,4S999
VSIG,Tranquille,Vin étranger,,,,,Vin étranger Tranquille,VT_ETRANGERS
VSIG,Mousseux,Vin de France,,,Blanc,,Vin de France Mousseux Blanc,4B999M
VSIG,Mousseux,Vin de France,,,Rosé,,Vin de France Mousseux Rosé,4S999M
VSIG,Mousseux,Vin de France,,,Rouge,,Vin de France Mousseux Rouge,4R999M
VSIG,Mousseux,Vin étranger,,,,,Vin étranger Mousseux,VM_ETRANGERS
Autres,,Lies et Bourbes,,,,,Lies et Bourbes,4X999V
Autres,,DPLC,,,,,DPLC,4B988Y
Autres,,DPLC,,,Blanc,,DPLC Blanc,4B988Y
Autres,,DPLC,,,Rouge,,DPLC Rouge,4R988Y
